2024-12-26 15:53:52 | INFO | club.views.club_views:get_queryset:57 - Retrieved clubs from cache for user 1
2024-12-26 15:58:10 | INFO | club.views.club_views:get_queryset:76 - Cached clubs for user 1
2024-12-26 16:00:20 | INFO | club.views.club_views:get_queryset:76 - Cached clubs for user 1
2024-12-26 16:01:46 | INFO | club.views.club_views:get_queryset:71 - Retrieved clubs from cache for user 1
2024-12-26 16:02:13 | INFO | club.views.club_views:get_queryset:71 - Retrieved clubs from cache for user 1
2024-12-26 16:08:45 | INFO | main.custom_cache:wrapper:32 - Retrieved data from cache for key: club_detail_1_pk_1
2024-12-26 16:08:46 | INFO | main.custom_cache:wrapper:32 - Retrieved data from cache for key: club_detail_1_pk_1
2024-12-26 16:08:57 | INFO | main.custom_cache:wrapper:32 - Retrieved data from cache for key: user_clubs_1
2024-12-26 16:08:59 | INFO | main.custom_cache:wrapper:32 - Retrieved data from cache for key: user_clubs_1
2024-12-26 16:09:01 | INFO | main.custom_cache:wrapper:32 - Retrieved data from cache for key: club_detail_1_pk_1
2024-12-26 16:09:02 | INFO | main.custom_cache:wrapper:32 - Retrieved data from cache for key: club_detail_1_pk_1
2024-12-26 16:09:03 | INFO | main.custom_cache:wrapper:32 - Retrieved data from cache for key: club_detail_1_pk_1
2024-12-26 16:10:16 | INFO | main.custom_cache:wrapper:32 - Retrieved data from cache for key: club_detail_1_pk_2
2024-12-26 16:10:17 | INFO | main.custom_cache:wrapper:32 - Retrieved data from cache for key: club_detail_1_pk_2
2024-12-26 16:10:18 | INFO | main.custom_cache:wrapper:32 - Retrieved data from cache for key: club_detail_1_pk_2
2024-12-26 16:10:31 | INFO | main.custom_cache:wrapper:32 - Retrieved data from cache for key: club_detail_1_pk_2
2024-12-26 16:10:35 | INFO | main.custom_cache:wrapper:32 - Retrieved data from cache for key: club_detail_1_pk_2
2024-12-26 16:10:36 | INFO | main.custom_cache:wrapper:32 - Retrieved data from cache for key: club_detail_1_pk_2
2024-12-26 16:10:37 | INFO | main.custom_cache:wrapper:32 - Retrieved data from cache for key: club_detail_1_pk_2
2024-12-26 16:10:38 | INFO | main.custom_cache:wrapper:32 - Retrieved data from cache for key: club_detail_1_pk_2
2024-12-26 16:10:39 | INFO | main.custom_cache:wrapper:32 - Retrieved data from cache for key: club_detail_1_pk_2
2024-12-26 16:11:24 | INFO | club.views.club_views:retrieve:27 - Retrieving club detail for user 1
2024-12-26 16:11:24 | INFO | main.custom_cache:wrapper:45 - Cached data for key: club_detail_1_pk_2 in 0:00:00.032017 seconds
2024-12-26 16:11:33 | INFO | main.custom_cache:wrapper:35 - Retrieved data from cache for key: club_detail_1_pk_2 in 0:00:00.000374 seconds
2024-12-26 16:11:40 | INFO | main.custom_cache:wrapper:35 - Retrieved data from cache for key: club_detail_1_pk_2 in 0:00:00.000301 seconds
2024-12-26 16:11:41 | INFO | main.custom_cache:wrapper:35 - Retrieved data from cache for key: club_detail_1_pk_2 in 0:00:00.000329 seconds
2024-12-26 16:11:42 | INFO | main.custom_cache:wrapper:35 - Retrieved data from cache for key: club_detail_1_pk_2 in 0:00:00.000324 seconds
2024-12-26 16:11:43 | INFO | main.custom_cache:wrapper:35 - Retrieved data from cache for key: club_detail_1_pk_2 in 0:00:00.000321 seconds
2024-12-26 16:11:43 | INFO | main.custom_cache:wrapper:35 - Retrieved data from cache for key: club_detail_1_pk_2 in 0:00:00.000326 seconds
2024-12-26 16:11:45 | INFO | main.custom_cache:wrapper:35 - Retrieved data from cache for key: club_detail_1_pk_2 in 0:00:00.000304 seconds
2024-12-26 16:11:48 | INFO | main.custom_cache:wrapper:45 - Cached data for key: user_clubs_1 in 0:00:00.044169 seconds
2024-12-26 16:11:52 | INFO | main.custom_cache:wrapper:35 - Retrieved data from cache for key: user_clubs_1 in 0:00:00.000244 seconds
2024-12-26 16:11:55 | INFO | main.custom_cache:wrapper:35 - Retrieved data from cache for key: user_clubs_1 in 0:00:00.000256 seconds
2024-12-26 16:12:06 | INFO | main.custom_cache:wrapper:35 - Retrieved data from cache for key: club_detail_1_pk_2 in 0:00:00.000659 seconds
2024-12-26 16:12:07 | INFO | main.custom_cache:wrapper:35 - Retrieved data from cache for key: club_detail_1_pk_2 in 0:00:00.000322 seconds
2024-12-26 16:12:12 | INFO | main.custom_cache:wrapper:35 - Retrieved data from cache for key: club_detail_1_pk_2 in 0:00:00.000321 seconds
2024-12-26 16:12:13 | INFO | main.custom_cache:wrapper:35 - Retrieved data from cache for key: club_detail_1_pk_2 in 0:00:00.000292 seconds
2024-12-26 16:12:15 | INFO | main.custom_cache:wrapper:35 - Retrieved data from cache for key: club_detail_1_pk_2 in 0:00:00.000290 seconds
2024-12-26 16:12:55 | INFO | club.views.club_views:retrieve:27 - Retrieving club detail for user 1
2024-12-26 16:12:55 | INFO | main.custom_cache:wrapper:45 - Cached data for key: club_detail_1_pk_2 in 0:00:00.007441 seconds
2024-12-26 16:12:56 | INFO | main.custom_cache:wrapper:35 - Retrieved data from cache for key: club_detail_1_pk_2 in 0:00:00.000349 seconds
2024-12-26 16:12:57 | INFO | main.custom_cache:wrapper:35 - Retrieved data from cache for key: club_detail_1_pk_2 in 0:00:00.000328 seconds
2024-12-26 16:12:58 | INFO | main.custom_cache:wrapper:35 - Retrieved data from cache for key: club_detail_1_pk_2 in 0:00:00.000296 seconds
2024-12-26 16:12:59 | INFO | main.custom_cache:wrapper:35 - Retrieved data from cache for key: club_detail_1_pk_2 in 0:00:00.000303 seconds
2024-12-26 16:13:22 | INFO | main.custom_cache:wrapper:35 - Retrieved data from cache for key: club_detail_1_pk_2 in 0:00:00.000920 seconds
2024-12-26 16:13:23 | INFO | main.custom_cache:wrapper:35 - Retrieved data from cache for key: club_detail_1_pk_2 in 0:00:00.000598 seconds
2024-12-26 16:13:41 | INFO | club.views.club_views:retrieve:27 - Retrieving club detail for user 1
2024-12-26 16:13:41 | INFO | main.custom_cache:wrapper:45 - Cached data for key: club_detail_1_pk_2 in 0:00:00.009907 seconds
